model,dataset,rank_bound,embedding_dim,p,q,feature_dim,seed,accuracy_score_val,macro_f1_val,micro_f1_val,auc_val,accuracy_score_test,macro_f1_test,micro_f1_test,auc_test,rank,accuracy_score_test_low_degree_nodes,macro_f1_test_low_degree_nodes,micro_f1_test_low_degree_nodes,auc_test_low_degree_nodes,accuracy_score_test_high_degree_nodes,macro_f1_test_high_degree_nodes,micro_f1_test_high_degree_nodes,auc_test_high_degree_nodes
sage,CiteSeer,1.0,1.0,1.0,1.0,1.00000000,1.0,0.3340,0.2379,0.3340,0.2850,0.3340,0.3070,0.2381,0.3070,0.2987,0.3070,1.0000,0.2220,0.1911,0.2220,0.2586,0.2220,0.3928,0.2713,0.3928,0.3204,0.3928
sage,PubMed,1.0,1.0,1.0,1.0,1.00000000,1.0,0.5140,0.5367,0.5140,0.5486,0.5140,0.5140,0.5379,0.5140,0.5563,0.5140,1.0000,0.5120,0.5368,0.5120,0.5546,0.5120,0.5150,0.5303,0.5150,0.5516,0.5150
sage,CoraFull,1.0,1.0,1.0,1.0,1.00000000,1.0,0.0947,0.0133,0.0947,0.0374,0.0947,0.0947,0.0130,0.0947,0.0364,0.0947,1.0000,0.0833,0.0092,0.0833,0.0306,0.0833,0.1061,0.0137,0.1061,0.0380,0.1061
sage,Cora,1.0,1.0,1.0,1.0,1.00000000,1.0,0.2420,0.1504,0.2420,0.2206,0.2420,0.2810,0.1953,0.2810,0.2718,0.2810,1.0000,0.2400,0.1699,0.2400,0.2477,0.2400,0.3226,0.2174,0.3226,0.2940,0.3226
sage,CiteSeer,1.0,1.0,1.0,1.0,1.00000000,1.0,0.3340,0.2379,0.3340,0.2850,0.3340,0.3070,0.2381,0.3070,0.2987,0.3070,1.0000,0.2220,0.1911,0.2220,0.2586,0.2220,0.3928,0.2713,0.3928,0.3204,0.3928
sage,PubMed,1.0,1.0,1.0,1.0,1.00000000,1.0,0.5140,0.5367,0.5140,0.5486,0.5140,0.5140,0.5379,0.5140,0.5563,0.5140,1.0000,0.5120,0.5368,0.5120,0.5546,0.5120,0.5150,0.5303,0.5150,0.5516,0.5150
sage,CoraFull,1.0,1.0,1.0,1.0,1.00000000,1.0,0.0947,0.0133,0.0947,0.0374,0.0947,0.0947,0.0130,0.0947,0.0364,0.0947,1.0000,0.0833,0.0092,0.0833,0.0306,0.0833,0.1061,0.0137,0.1061,0.0380,0.1061
sage,Amazon-Computers,1.0,1.0,1.0,1.0,1.00000000,1.0,0.4324,0.1710,0.4324,0.2033,0.4324,0.4164,0.1594,0.4164,0.1907,0.4164,1.0000,0.3345,0.1371,0.3345,0.1738,0.3345,0.4978,0.1933,0.4978,0.2074,0.4978
sage,Amazon-Photo,1.0,1.0,1.0,1.0,1.00000000,1.0,0.3739,0.2019,0.3739,0.2453,0.3739,0.3928,0.1987,0.3928,0.2467,0.3928,1.0000,0.3490,0.1648,0.3490,0.2121,0.3490,0.4372,0.2218,0.4372,0.2683,0.4372
sage,CitationFull-DBLP,1.0,1.0,1.0,1.0,1.00000000,1.0,0.6639,0.3708,0.6639,0.4305,0.6639,0.6559,0.3671,0.6559,0.4241,0.6559,1.0000,0.5830,0.3374,0.5830,0.3963,0.5830,0.7290,0.3848,0.7290,0.4447,0.7290
sage,Flickr,1.0,1.0,1.0,1.0,1.00000000,1.0,0.4239,0.0851,0.4239,0.1429,0.4239,0.4234,0.0850,0.4234,0.1429,0.4234,1.0000,0.4865,0.0935,0.4865,0.1429,0.4865,0.3603,0.0757,0.3603,0.1429,0.3603
sage,Coauthor-CS,1.0,1.0,1.0,1.0,1.00000000,1.0,0.3701,0.1215,0.3701,0.1742,0.3701,0.3774,0.1233,0.3774,0.1749,0.3774,1.0000,0.3866,0.1148,0.3866,0.1687,0.3866,0.3682,0.1416,0.3682,0.2010,0.3682
